[CH]-[CH]=[CH]-[CH],7, 5, 0, 0, 1, 3, 0, 1, 7, 5, 0, 0, 1, 1, 1, 2, 3, 0, 1, 2.55, 0.34999999999999964, 12.1125, 5, 3, 3, 3, 14
[CH]-[CH2]-[CH2]-[CH],7, 5, 0, 0, 1, 3, 0, 1, 8, 6, 0, 0, 2, 1, 1, 1, 2, 1, 2, 2.55, 0.34999999999999964, 12.1125, 5, 3, 3, 3, 14
[CH2]-[CH]=[CH]-[CH2],8, 6, 0, 0, 2, 2, 1, 2, 7, 5, 0, 0, 1, 1, 1, 2, 3, 0, 1, 2.55, 0.6999999999999993, 17.7225, 5, 3, 3, 4, 15
[CH2]-[CH2]-[CH2]-[CH2],8, 6, 0, 0, 2, 2, 1, 2, 8, 6, 0, 0, 2, 1, 1, 1, 2, 1, 2, 2.55, 0.6999999999999993, 17.7225, 5, 3, 3, 4, 15
[CH]-[N]=[N]-[CH],7, 5, 0, 0, 1, 3, 0, 1, 7, 5, 1, 0, 0, 1, 1, 2, 3, 0, 1, 2.55, -0.14000000000000057, 13.362, 5, 3, 3, 3, 14
[CH]-[NH]-[NH]-[CH],7, 5, 0, 0, 1, 3, 0, 1, 8, 6, 1, 0, 1, 1, 1, 1, 2, 1, 2, 2.55, -0.14000000000000057, 13.362, 5, 3, 3, 3, 14
[CH2]-[N]=[N]-[CH2],8, 6, 0, 0, 2, 2, 1, 2, 7, 5, 1, 0, 0, 1, 1, 2, 3, 0, 1, 2.55, 0.20999999999999908, 18.972, 5, 3, 3, 4, 15
[CH2]-[NH]-[NH]-[CH2],8, 6, 0, 0, 2, 2, 1, 2, 8, 6, 1, 0, 1, 1, 1, 1, 2, 1, 2, 2.55, 0.20999999999999908, 18.972, 5, 3, 3, 4, 15
[CH]-[O]-[O]-[CH],7, 5, 0, 0, 1, 3, 0, 1, 8, 6, 2, 0, 0, 1, 1, 1, 2, 1, 2, 2.55, -0.5400000000000005, 14.381999999999998, 5, 3, 3, 3, 14
[CH2]-[O]-[O]-[CH2],8, 6, 0, 0, 2, 2, 1, 2, 8, 6, 2, 0, 0, 1, 1, 1, 2, 1, 2, 2.55, -0.19000000000000083, 19.991999999999997, 5, 3, 3, 4, 15
[CH]-[P]=[P]-[CH],7, 5, 0, 0, 1, 3, 0, 1, 15, 5, 1, 0, 0, 1, 1, 2, 3, 0, 1, 2.55, 0.7099999999999995, 11.1945, 5, 3, 3, 3, 14
[CH]-[PH]-[PH]-[CH],7, 5, 0, 0, 1, 3, 0, 1, 16, 6, 1, 0, 1, 1, 1, 1, 2, 1, 2, 2.55, 0.7099999999999995, 11.1945, 5, 3, 3, 3, 14
[CH2]-[P]=[P]-[CH2],8, 6, 0, 0, 2, 2, 1, 2, 15, 5, 1, 0, 0, 1, 1, 2, 3, 0, 1, 2.55, 1.0599999999999992, 16.8045, 5, 3, 3, 4, 15
